"id","name","province_name","aliases_csv"
R80302661,Kamoke,Punjab,""
R80302523,Kamra,Punjab,""
R80302813,Kandhkot,Sindh,""
R80302363,Kangra,Khyber Pakhtunkhwa,""
R80302944,Kalyal,Azad Kashmir,""
R80302804,Kandiaro,Sindh,""
MRG-CITY-49fadfa0-275,Karachi,Sindh,""
R80302370,Karak,Khyber Pakhtunkhwa,""
R80302883,Karampur,Sindh,""
R80302530,Karianwala,Punjab,""
RPK15,Kahror Pakka,Punjab,""
R80302847,Kashmore,Sindh,""
R80302548,Kasur,Punjab,""
R80302359,Katlang,Khyber Pakhtunkhwa,""
R80302541,Khan Bella,Punjab,""
R80302508,Khan Garh,Punjab,""
R80302764,Khanewal,Punjab,""
R80302606,Khanpur,Punjab,""
RPK7227,Khanqah Sharif,Punjab,""
R80302971,Kharan,Balochistan,""
R80302837,Kamber Ali Khan,Sindh,""
R80302689,Karmabad,Punjab,""
R80302535,Khurianwala,Punjab,""
R80302651,Khushab,Punjab,""
R80302976,Khuzdar,Balochistan,""
R80302332,Kohat,Khyber Pakhtunkhwa,""
RPK4,Kot Addu,Punjab,""
R80302503,Kot Mithan,Punjab,""
R80306590,Kot Momin,Punjab,""
R80302760,Kot Rada Kishan,Punjab,""
R80302642,Kotli Loharan,Punjab,""
R80302866,Kotri,Sindh,""
R80316262,Kuchlak,Balochistan,""
R80302627,Kundian,Punjab,""
R80302904,Kunri,Sindh,""
R80302289,Lachi,Khyber Pakhtunkhwa,""
R6589888,Lakki Marwat,Khyber Pakhtunkhwa,""
R80316271,Lala Musa,Punjab,""
R80302453,Lalian,Punjab,""
R80302801,Larkana,Sindh,""
R80302578,Layyah,Punjab,""
R80302852,Khipro,Sindh,""
R80302966,Lasbela,Balochistan,""
R80302554,Lower Topa,Punjab,""
R80302744,Luddhan,Punjab,""
R80302838,Machi Goth,Sindh,""
R80302526,Machiwala,Punjab,""
RPK6,Mailsi,Punjab,""
R80302521,Makhdoompur,Punjab,""
R80302305,Malakand,Khyber Pakhtunkhwa,""
R80302313,Malikpura,Khyber Pakhtunkhwa,""
RPK7270,Malowal,Punjab,""
RPK1676,Mananwala,Punjab,""
R80302557,Mandi Bhauddin,Punjab,""
R80302426,Mandi Faiz Abad,Punjab,""
R80302356,Mandian,Khyber Pakhtunkhwa,""
R80302350,Mansehra,Khyber Pakhtunkhwa,""
R80302336,Mardan,Khyber Pakhtunkhwa,""
R80302979,Mastung,Balochistan,""
R80302925,Matiari,Sindh,""
